Store,Markup percetage in each store (in %),Markup percetage in each store (in %),Markup percetage in each store (in %),Markup percetage in each store (in %),Markup percetage in each store (in %)
ALBERTSONS,21,21,21,21,21
Asda,24,24,24,24,24
Food4Less,5,5,5,5,5
Hillsborough ,10,10,10,10,10
Krogers,20,20,20,20,20
Monte Sereno ,24,24,24,24,24
Montecito ,26,26,26,26,26
Morrison,17,17,17,17,17
Pavilions,25,25,25,25,25
Piedmont ,19,19,19,19,19
Ralphs,7,7,7,7,7
Rolling Hills ,29,29,29,29,29
Sainsbury,26,26,26,26,26
Sausalito ,25,25,25,25,25
Smiths,16,16,16,16,16
Tesco,18,18,18,18,18
Tiburon ,16,16,16,16,16
Walmart,26,26,26,26,26
Whole Foods,20,20,20,20,20
Woodside ,16,16,16,16,16
